iter	Passed	Remaining
0	138	137918
1	140	70329
2	142	47518
3	145	36161
4	147	29382
5	149	24779
6	151	21534
7	153	19070
8	156	17194
9	158	15670
10	160	14413
11	162	13388
12	165	12548
13	167	11775
14	169	11122
15	171	10554
16	173	10039
17	175	9590
18	177	9175
19	179	8812
20	182	8510
21	185	8224
22	187	7963
23	189	7711
24	191	7467
25	193	7238
26	195	7037
27	197	6871
28	200	6701
29	202	6538
30	204	6407
31	207	6272
32	209	6127
33	211	6002
34	213	5878
35	215	5761
36	217	5662
37	219	5559
38	221	5455
39	224	5384
40	226	5301
41	228	5215
42	230	5134
43	232	5059
44	234	4980
45	237	4919
46	239	4849
47	241	4783
48	243	4728
49	245	4669
50	247	4607
51	249	4545
52	251	4487
53	252	4431
54	254	4376
55	256	4318
56	257	4260
57	258	4203
58	261	4168
59	262	4115
60	263	4062
61	265	4009
62	266	3960
63	267	3914
64	268	3867
65	270	3821
66	271	3775
67	272	3732
68	273	3695
69	275	3655
70	276	3616
71	277	3578
72	279	3543
73	280	3512
74	282	3479
75	283	3449
76	285	3424
77	287	3397
78	288	3368
79	290	3339
80	292	3313
81	293	3285
82	294	3251
83	295	3226
84	297	3203
85	299	3178
86	300	3155
87	301	3129
88	303	3105
89	305	3085
90	306	3062
91	308	3040
92	309	3019
93	311	3002
94	313	2982
95	314	2962
96	315	2940
97	317	2921
98	318	2899
99	320	2880
100	321	2860
101	323	2845
102	324	2828
103	326	2811
104	327	2794
105	329	2783
106	331	2768
107	333	2752
108	334	2737
109	336	2724
110	338	2709
111	339	2694
112	341	2678
113	343	2666
114	344	2652
115	345	2636
116	347	2619
117	349	2609
118	350	2596
119	352	2583
120	353	2569
121	355	2555
122	356	2543
123	358	2533
124	360	2523
125	362	2514
126	363	2501
127	365	2491
128	367	2482
129	369	2471
130	370	2460
131	372	2451
132	374	2441
133	375	2428
134	377	2415
135	378	2404
136	380	2394
137	381	2383
138	382	2370
139	383	2358
140	385	2348
141	386	2334
142	387	2323
143	389	2312
144	390	2300
145	391	2289
146	392	2278
147	393	2267
148	395	2256
149	396	2244
150	397	2234
151	399	2226
152	400	2217
153	401	2206
154	402	2194
155	403	2183
156	405	2175
157	406	2164
158	407	2153
159	408	2143
160	408	2131
161	409	2120
162	411	2113
163	412	2103
164	413	2093
165	414	2083
166	415	2073
167	416	2064
168	418	2057
169	419	2049
170	421	2041
171	422	2032
172	423	2026
173	425	2018
174	426	2009
175	427	2001
176	428	1993
177	430	1987
178	431	1980
179	433	1975
180	434	1966
181	435	1959
182	437	1953
183	439	1947
184	440	1939
185	441	1932
186	443	1927
187	444	1919
188	445	1911
189	446	1904
190	448	1898
191	449	1892
192	450	1884
193	451	1877
194	452	1869
195	453	1861
196	455	1856
197	456	1849
198	457	1842
199	458	1834
200	459	1826
201	460	1820
202	462	1814
203	463	1808
204	464	1801
205	465	1794
206	467	1789
207	468	1784
208	469	1778
209	470	1771
210	471	1764
211	472	1757
212	474	1752
213	475	1745
214	476	1738
215	477	1731
216	477	1724
217	478	1717
218	480	1713
219	481	1706
220	482	1699
221	483	1693
222	484	1686
223	485	1680
224	486	1676
225	487	1669
